month,subject,date,ni_file,n_ref_onsets,n_target_onsets,n_matched_onsets,mean_diff,std_diff,mean_abs_diff,median_diff,median_abs_diff,min_diff,max_diff,name,Q1,Q2,datetime
5月,3,20250521,6_20250521_104154_ni.txt,153.0,231.0,231.0,0.05835670995671,0.1609965476102595,0.1096649350649351,0.0467999999999975,0.0782999999999987,-0.2032000000000025,1.1340000000000146,kitayama_0521,72.0,73.0,2025-05-21 10:42:03
5月,3,20250521,7_20250521_104642_ni.txt,153.0,318.0,318.0,0.0098908805031446,0.130805299446833,0.1051481132075471,0.0149500000000024,0.1017500000000026,-0.2038000000000011,0.7044999999999959,kitayama_0521,43.0,37.0,2025-05-21 10:47:00
5月,3,20250521,8_20250521_105116_ni.txt,153.0,300.0,300.0,0.0121046666666664,0.1210966282694207,0.1052940000000002,0.0253499999999986,0.1016500000000002,-0.2094000000000022,0.2068000000000012,kitayama_0521,71.0,72.0,2025-05-21 10:51:28
5月,3,20250521,9_20250521_105259_ni.txt,153.0,311.0,311.0,0.0090581993569131,0.1181125268219089,0.1032858520900323,0.0171999999999954,0.0990999999999999,-0.2069999999999936,0.2004000000000019,kitayama_0521,82.0,82.0,2025-05-21 10:53:13
5月,3,20250521,10_20250521_105442_ni.txt,127.0,360.0,360.0,0.0246474999999995,0.1998912519468052,0.1283991666666664,0.0155499999999992,0.1081000000000038,-0.3643,1.6325000000000074,kitayama_0521,87.0,87.0,2025-05-21 10:54:51
5月,3,20250523,1_20250523_100837_ni.txt,127.0,309.0,309.0,0.0121349514563106,0.1597908831917864,0.1168391585760515,0.0069999999999978,0.1045999999999978,-0.3771999999999984,1.1576000000000022,kitayama_0523,62.0,62.0,2025-05-23 10:08:58
5月,3,20250523,2_20250523_101018_ni.txt,153.0,298.0,298.0,0.0105399328859059,0.1460897370033692,0.1106063758389259,0.0054999999999942,0.0980499999999953,-0.2054000000000044,0.9409999999999884,kitayama_0523,57.0,57.0,2025-05-23 10:10:35
5月,3,20250523,3_20250523_101551_ni.txt,153.0,252.0,252.0,0.0413579365079364,0.1030250981543342,0.0916817460317458,0.0407999999999972,0.0884999999999998,-0.2069000000000045,0.2057000000000002,kitayama_0523,71.0,71.0,2025-05-23 10:16:04
5月,3,20250523,4_20250523_102046_ni.txt,153.0,295.0,295.0,0.0296867796610171,0.1063865497176024,0.0923647457627119,0.0301000000000009,0.0941999999999971,-0.1965000000000003,0.2043999999999997,kitayama_0523,82.0,83.0,2025-05-23 10:20:58
5月,3,20250523,5_20250523_102536_ni.txt,153.0,300.0,300.0,0.0213879999999994,0.1119265234696405,0.0978859999999997,0.0247000000000028,0.0992499999999942,-0.2008000000000009,0.2064999999999983,kitayama_0523,74.0,74.0,2025-05-23 10:25:49
5月,3,20250523,6_20250523_103048_ni.txt,153.0,300.0,300.0,0.0192776666666665,0.1070202706712872,0.0904543333333334,0.0244999999999979,0.0821499999999986,-0.206700000000005,0.2088999999999998,kitayama_0523,80.0,76.0,2025-05-23 10:31:03
5月,3,20250523,7_20250523_104321_ni.txt,153.0,293.0,293.0,0.0206986348122869,0.1168672736776185,0.1024808873720137,0.0381,0.1019999999999967,-0.203599999999998,0.2058000000000035,kitayama_0523,63.0,59.0,2025-05-23 10:43:38
5月,3,20250523,8_20250523_104804_ni.txt,153.0,278.0,278.0,0.0192046762589928,0.103196842778389,0.088010431654676,0.0252499999999962,0.0814000000000021,-0.2067999999999976,0.2102000000000004,kitayama_0523,70.0,75.0,2025-05-23 10:48:18
