month,subject,date,ni_file_count,has_soa_csv,has_soa_xlsx,ni_files,first_ni_file,last_ni_file,total_ni_size_mb,avg_ni_size_mb,soa_csv_path,soa_csv_size_kb,soa_csv_rows,soa_csv_columns,soa_xlsx_path,soa_xlsx_size_kb
7月,7,20250718,12,True,True,9kaime_20250718_105306_ni.txt; 8kaime_20250718_104842_ni.txt; 5kaime_20250718_102518_ni.txt; 12kaime_20250718_110057_ni.txt; 11kaime_20250718_105924_ni.txt; 7kaime_20250718_104424_ni.txt; 6kaime_20250718_102954_ni.txt; 10kaime_20250718_105731_ni.txt; 3kaime_20250718_101551_ni.txt; 1kaime_20250718_100928_ni.txt; 4kaime_20250718_102036_ni.txt; 2kaime_20250718_101100_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250718/9kaime_20250718_105306_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250718/2kaime_20250718_101100_ni.txt,1497.77,124.81,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250718/nakamura_0718_soa.csv,0.46,11.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250718/20250718.xlsx,5.34
7月,7,20250723,8,True,True,1_20250723_102548_ni.txt; 2_20250723_102741_ni.txt; 3_20250723_103208_ni.txt; 4_20250723_103711_ni.txt; 5_20250723_104137_ni.txt; 6_20250723_105452_ni.txt; 7_20250723_105701_ni.txt; 8_20250723_105841_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250723/1_20250723_102548_ni.txt,/home/acercyc/Projects/Drum/data/7月/7/NI/20250723/8_20250723_105841_ni.txt,1003.03,125.38,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250723/nakamura_0723_soa.csv,0.35,8.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/7/SoA/20250723/20250723.xlsx,5.27
7月,8,20250702,6,True,True,1_20250702_141139_ni.txt; 2_20250702_141848_ni.txt; 3_20250702_142930_ni.txt; 4_20250702_143425_ni.txt; 5_20250702_143900_ni.txt; 6_20250702_144034_ni.txt,/home/acercyc/Projects/Drum/data/7月/8/NI/20250702/1_20250702_141139_ni.txt,/home/acercyc/Projects/Drum/data/7月/8/NI/20250702/6_20250702_144034_ni.txt,833.05,138.84,/home/acercyc/Projects/Drum/data/7月/8/SoA/20250702/huruhasi_0702_soa.csv,0.26,6.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/8/SoA/20250702/20250702.xlsx,5.2
7月,8,20250704,8,True,True,1_20250704_131144_ni.txt; 2_20250704_132130_ni.txt; 3_20250704_132747_ni.txt; 4_20250704_133243_ni.txt; 5_20250704_134819_ni.txt; 6_20250704_135337_ni.txt; 7_20250704_135910_ni.txt; 8_20250704_140110_ni.txt,/home/acercyc/Projects/Drum/data/7月/8/NI/20250704/1_20250704_131144_ni.txt,/home/acercyc/Projects/Drum/data/7月/8/NI/20250704/8_20250704_140110_ni.txt,1047.4,130.93,/home/acercyc/Projects/Drum/data/7月/8/SoA/20250704/huruhasi_0704_soa.csv,0.34,8.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/8/SoA/20250704/20250704.xlsx,5.25
7月,8,20250709,11,True,True,1_20250709_130413_ni.txt; 2_20250709_130637_ni.txt; 3_20250709_131204_ni.txt; 4_20250709_131833_ni.txt; 5_20250709_132312_ni.txt; 6_20250709_133632_ni.txt; 7_20250709_134229_ni.txt; 8_20250709_134724_ni.txt; 9_20250709_135225_ni.txt; 10_20250709_135404_ni.txt; 11_20250709_135544_ni.txt,/home/acercyc/Projects/Drum/data/7月/8/NI/20250709/1_20250709_130413_ni.txt,/home/acercyc/Projects/Drum/data/7月/8/NI/20250709/11_20250709_135544_ni.txt,1379.83,125.44,/home/acercyc/Projects/Drum/data/7月/8/SoA/20250709/huruhasi_0709_soa.csv,0.46,11.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/8/SoA/20250709/20250709.xlsx,5.27
7月,8,20250711,9,True,True,1_20250711_131739_ni.txt; 2_20250711_131926_ni.txt; 3_20250711_132437_ni.txt; 4_20250711_132950_ni.txt; 5_20250711_133458_ni.txt; 6_20250711_134632_ni.txt; 7_20250711_135046_ni.txt; 8_20250711_135246_ni.txt; 9_20250711_135427_ni.txt,/home/acercyc/Projects/Drum/data/7月/8/NI/20250711/1_20250711_131739_ni.txt,/home/acercyc/Projects/Drum/data/7月/8/NI/20250711/9_20250711_135427_ni.txt,1129.53,125.5,/home/acercyc/Projects/Drum/data/7月/8/SoA/20250711/huruhasi_0711_soa.csv,0.38,9.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/7月/8/SoA/20250711/20250711.xlsx,5.25
9月,10,20250901,6,True,True,1_20250901_145102_ni.txt; 2_20250901_150350_ni.txt; 3_20250901_150819_ni.txt; 4_20250901_151342_ni.txt; 5_20250901_151818_ni.txt; 6_20250901_152207_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250901/1_20250901_145102_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250901/6_20250901_152207_ni.txt,779.97,130.0,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250901/takakuwa_0901_soa.csv,0.26,6.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250901/20250901_.xlsx,5.18
9月,10,20250903,8,True,True,1_20250903_140857_ni.txt; 2_20250903_141343_ni.txt; 3_20250903_142616_ni.txt; 4_20250903_143256_ni.txt; 5_20250903_144605_ni.txt; 6_20250903_145305_ni.txt; 7_20250903_145755_ni.txt; 8_20250903_150006_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250903/1_20250903_140857_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250903/8_20250903_150006_ni.txt,1061.12,132.64,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250903/takakuwa_0903_soa.csv,0.34,8.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250903/20250903.xlsx,5.25
9月,10,20250908,8,True,True,1_20250908_141123_ni.txt; 2_20250908_141547_ni.txt; 3_20250908_142152_ni.txt; 4_20250908_142800_ni.txt; 5_20250908_143315_ni.txt; 6_20250908_144327_ni.txt; 7_20250908_145221_ni.txt; 8_20250908_145410_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250908/1_20250908_141123_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250908/8_20250908_145410_ni.txt,1001.03,125.13,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250908/takakuwa_0908_soa.csv,0.34,8.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250908/20250908.xlsx,5.36
9月,10,20250910,10,True,True,1_20250910_141217_ni.txt; 2_20250910_141415_ni.txt; 3_20250910_142132_ni.txt; 4_20250910_142653_ni.txt; 5_20250910_143258_ni.txt; 6_20250910_144407_ni.txt; 7_20250910_145008_ni.txt; 8_20250910_145516_ni.txt; 9_20250910_145747_ni.txt; 10_20250910_145932_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250910/1_20250910_141217_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250910/10_20250910_145932_ni.txt,1262.33,126.23,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250910/takakuwa_0910_soa.csv,0.42,10.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250910/20250910.xlsx,5.3
9月,10,20250917,10,True,True,1_20250917_140701_ni.txt; 2_20250917_140900_ni.txt; 3_20250917_141459_ni.txt; 4_20250917_142600_ni.txt; 5_20250917_143152_ni.txt; 6_20250917_143735_ni.txt; 7_20250917_144757_ni.txt; 8_20250917_145222_ni.txt; 9_20250917_145416_ni.txt; 10_20250917_145553_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250917/1_20250917_140701_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250917/10_20250917_145553_ni.txt,1197.19,119.72,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250917/takakuwa_0917_soa.csv,0.42,10.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250917/20250917.xlsx,5.33
9月,10,20250922,11,True,True,1_20250922_142007_ni.txt; 2_20250922_142205_ni.txt; 3_20250922_142801_ni.txt; 4_20250922_143313_ni.txt; 5_20250922_143741_ni.txt; 6_20250922_144830_ni.txt; 7_20250922_145545_ni.txt; 8_20250922_150603_ni.txt; 9_20250922_151040_ni.txt; 10_20250922_151232_ni.txt; 11_20250922_151416_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250922/1_20250922_142007_ni.txt,/home/acercyc/Projects/Drum/data/9月/10/NI/20250922/11_20250922_151416_ni.txt,1372.39,124.76,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250922/takakuwa_0922_soa.csv,0.47,11.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/9月/10/SoA/20250922/20250922.xlsx,5.34
9月,11,20250908,5,True,True,1_20250908_125252_ni.txt; 2_20250908_125953_ni.txt; 3_20250908_131102_ni.txt; 4_20250908_131721_ni.txt; 5_20250908_132030_ni.txt,/home/acercyc/Projects/Drum/data/9月/11/NI/20250908/1_20250908_125252_ni.txt,/home/acercyc/Projects/Drum/data/9月/11/NI/20250908/5_20250908_132030_ni.txt,670.48,134.1,/home/acercyc/Projects/Drum/data/9月/11/SoA/20250908/matsui_0908_soa.csv,0.21,5.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/9月/11/SoA/20250908/20250908.xlsx,5.22
9月,11,20250910,8,True,True,1_20250910_121250_ni.txt; 2_20250910_121908_ni.txt; 3_20250910_122508_ni.txt; 4_20250910_123717_ni.txt; 5_20250910_124951_ni.txt; 6_20250910_125651_ni.txt; 7_20250910_130335_ni.txt; 8_20250910_130730_ni.txt,/home/acercyc/Projects/Drum/data/9月/11/NI/20250910/1_20250910_121250_ni.txt,/home/acercyc/Projects/Drum/data/9月/11/NI/20250910/8_20250910_130730_ni.txt,1110.95,138.87,/home/acercyc/Projects/Drum/data/9月/11/SoA/20250910/matsui_0910_soa.csv,0.33,8.0,name; Q1; Q2; datetime,/home/acercyc/Projects/Drum/data/9月/11/SoA/20250910/20250910.xlsx,5.3
